RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
10-06-2024,24238Y2000,0.45 X 1220 X BRICK RED,2710,REGULAR,REGULAR,37
11-06-2024,KC1ADE0496,0.35 X 1220 X RAL 9002,1215,REGULAR,REGULAR,36
11-06-2024,KC3ADD2739,0.35 X 1220 X RAL 9002,143,REGULAR,REGULAR,36
11-06-2024,24557A3000,0.4 X 1220 X RAL 9002,4115,REGULAR,REGULAR,36
12-06-2024,U4EPP11625,0.4 X 1220 X RAL 9002,4400,REGULAR,REGULAR,35
12-06-2024,U4EPP11626,0.4 X 1220 X RAL 9002,4400,REGULAR,REGULAR,35
12-06-2024,U4EPP11627,0.4 X 1220 X RAL 9002,4385,REGULAR,REGULAR,35
12-06-2024,U4EPP11628,0.4 X 1220 X RAL 9002,4380,REGULAR,REGULAR,35
12-06-2024,KC2ADE0202,0.5 X 1150 X RAL 9002,1851,HANSIM,Senthil,35
12-06-2024,KC2ADC2193,0.5 X 1085 X RAL 9002,974,HANSIM,Senthil,35
13-06-2024,KC1ADC0777,0.5 X 1220 X RAL 7015,485,REGULAR,REGULAR,34
13-06-2024,KC3ADE1131,0.5 X 1220 X RAL 9002,690,REGULAR,REGULAR,34
13-06-2024,2455FX5000,0.5 X 1220 X RAL 9002,2227,REGULAR,REGULAR,34
13-06-2024,KC3ADE1163,0.5 X 1220 X RAL 9002,2425,REGULAR,REGULAR,34
13-06-2024,24FPL12131,0.4 X 1220 X RAL 9002,4785,REGULAR,REGULAR,34
13-06-2024,24FPL12130,0.4 X 1220 X RAL 9002,4580,REGULAR,REGULAR,34
13-06-2024,24FPL12129,0.4 X 1220 X RAL 9002,4575,REGULAR,REGULAR,34
13-06-2024,24FPL12132,0.4 X 1220 X RAL 9002,4515,REGULAR,REGULAR,34
13-06-2024,24FPL12121,0.4 X 1220 X RAL 9002,3455,REGULAR,REGULAR,34
13-06-2024,24FPL12102,0.5 X 1220 X RAL 7015,4580,REGULAR,REGULAR,34
13-06-2024,24FPL12101,0.5 X 1220 X RAL 7015,1860,REGULAR,REGULAR,34
13-06-2024,24FPL12118,0.4 X 1220 X RAL 9002,179,REGULAR,REGULAR,34
13-06-2024,24FPL12117,0.4 X 1220 X RAL 9002,4820,REGULAR,REGULAR,34
13-06-2024,24FPL12119,0.4 X 1220 X RAL 9002,3995,REGULAR,REGULAR,34
15-06-2024,VC1ADE1566,0.5 X 1220 X RAL 5020,3825,METECNO THAILAND,Others,32
15-06-2024,VC1ADE1577,0.5 X 1220 X RAL 5020,3625,METECNO THAILAND,Others,32
15-06-2024,VC1ADE1598,0.5 X 1060 X RAL 5020,3880,METECNO THAILAND,Others,32
15-06-2024,VC1ADE1599,0.5 X 1060 X RAL 5020,3875,METECNO THAILAND,Others,32
15-06-2024,VC1ADE1602,0.5 X 1060 X RAL 5020,3820,METECNO THAILAND,Others,32
15-06-2024,VC1ADE1572,0.5 X 1220 X RAL 5020,4170,METECNO THAILAND,Others,32
17-06-2024,24CA0025000,0.5 X 1220 X RAL 9002 ALUMINIUM,1799,FABEX,Others,30
17-06-2024,24CA0025001,0.5 X 1220 X RAL 9002 ALUMINIUM,1799,FABEX,Others,30
17-06-2024,24CA0025002,0.5 X 1220 X RAL 9002 ALUMINIUM,1745,FABEX,Others,30
17-06-2024,24CA0025003,0.5 X 1220 X RAL 9002 ALUMINIUM,1683,FABEX,Others,30
17-06-2024,24CA0025004,0.5 X 1220 X RAL 9002 ALUMINIUM,1851,FABEX,Others,30
17-06-2024,24CA0025005,0.5 X 1220 X RAL 9002 ALUMINIUM,1577,FABEX,Others,30
17-06-2024,24CA0025006,0.5 X 1220 X RAL 9002 ALUMINIUM,1773,FABEX,Others,30
17-06-2024,24CA0025007,0.5 X 1220 X RAL 9002 ALUMINIUM,1657,FABEX,Others,30
17-06-2024,24CA0025008,0.5 X 1220 X RAL 9002 ALUMINIUM,1433,FABEX,Others,30
17-06-2024,24CA0025009,0.5 X 1065 X RAL 5010 ALUMINIUM,2579,FABEX,Others,30
19-06-2024,C0124E1678,0.5 X 1060 X RAL 9002,4680,COLD STORAGE,Vivek,28
19-06-2024,C0124E1684,0.5 X 1060 X RAL 9002,3050,COLD STORAGE,Vivek,28
22-06-2024,C0124E1668,0.5 X 1220 X RAL 9002,4240,COLD STORAGE,Vivek,25
22-06-2024,C0124E1666,0.5 X 1220 X RAL 9002,4180,COLD STORAGE,Vivek,25
22-06-2024,C0124E1667,0.5 X 1220 X RAL 9002,4180,COLD STORAGE,Vivek,25
22-06-2024,C0124E1664,0.5 X 1220 X RAL 9002,1575,COLD STORAGE,Vivek,25
22-06-2024,C0124E1665,0.5 X 1220 X RAL 9002,3950,COLD STORAGE,Vivek,25
22-06-2024,C0124E1680,0.5 X 1060 X RAL 9002,1164,COLD STORAGE,Vivek,25
22-06-2024,C0124E1683,0.5 X 1060 X RAL 9002,4760,COLD STORAGE,Vivek,25
22-06-2024,C0124E1685,0.5 X 1060 X RAL 9002,2860,COLD STORAGE,Vivek,25
22-06-2024,IR4F16423,0.4 X 1070 X RAL 9002,1670,REGULAR,REGULAR,25
22-06-2024,IR4F16418,0.4 X 1070 X RAL 9002,4590,REGULAR,REGULAR,25
22-06-2024,VXNRDE7260,0.5 X 1220 X RAL 5020,2265,METECNO THAILAND,Others,25
22-06-2024,TC2ADD6753,0.5 X 1220 X RAL 9002,2700,GOWRA,Senthil,25
22-06-2024,TC2ADD6754,0.5 X 1220 X RAL 9002,3965,GOWRA,Senthil,25
22-06-2024,TC2ADD6755,0.5 X 1220 X RAL 9002,3685,GOWRA,Senthil,25
22-06-2024,TC2ADD6756,0.5 X 1220 X RAL 9002,3675,GOWRA,Senthil,25
22-06-2024,TC1ADD1515,0.5 X 1080 X RAL 9002,4075,REGULAR,REGULAR,25
22-06-2024,TC1ADD1519,0.5 X 1080 X RAL 9002,3815,AMAR STEEL,Senthil,25
22-06-2024,TC2ADD5637,0.5 X 1080 X RAL 9002,4040,REGULAR,REGULAR,25
22-06-2024,TC2ADD5638,0.5 X 1080 X RAL 9002,3070,AMAR STEEL,Senthil,25
24-06-2024,VC1ADE1512,0.8 X 1060 X RAL 9002,4245,EVEREST,Manoj,23
24-06-2024,VC1ADE1517,0.5 X 1080 X RAL 9006,3335,METECNO THAILAND,Others,23
24-06-2024,VC1ADE1518,0.5 X 1080 X RAL 9006,3345,METECNO THAILAND,Others,23
24-06-2024,VC1ADE1519,0.5 X 1080 X RAL 9006,3545,METECNO THAILAND,Others,23
24-06-2024,VXNRDE7256,0.5 X 1220 X RAL 5020,3140,METECNO THAILAND,Others,23
24-06-2024,VC1ADE1573,0.5 X 1220 X RAL 5020,1850,METECNO THAILAND,Others,23
24-06-2024,VC1ADE1579,0.5 X 1220 X RAL 5020,3450,METECNO THAILAND,Others,23
25-06-2024,VC1ADE1515,0.5 X 1080 X RAL 9006,4380,METECNO THAILAND,Others,22
28-06-2024,VC1ADE1516,0.5 X 1080 X RAL 9006,3750,METECNO THAILAND,Others,19
28-06-2024,VC1ADE1607,0.5 X 1060 X RAL 5020,1425,METECNO THAILAND,Others,19
28-06-2024,VC1ADE1597,0.5 X 1060 X RAL 5020,3000,METECNO THAILAND,Others,19
28-06-2024,VC3ADF1664,0.9 X 1220 X RAL 9006,4885,METECNO THAILAND,Others,19
29-06-2024,24FPI3477,0.5 X 1085 X RAL 9002,2870,INNO COOL,REGULAR,18
29-06-2024,24FPI3474,0.5 X 1085 X RAL 9002,2770,INNO COOL,REGULAR,18
29-06-2024,24FPI3471,0.5 X 1085 X RAL 9002,2745,INNO COOL,REGULAR,18
29-06-2024,24FPI3467,0.5 X 1085 X RAL 9002,2710,INNO COOL,REGULAR,18
29-06-2024,24FPI3469,0.5 X 1085 X RAL 9002,2650,INNO COOL,REGULAR,18
29-06-2024,24FPI3470,0.5 X 1085 X RAL 9002,2250,INNO COOL,REGULAR,18
29-06-2024,24FPI3468,0.5 X 1085 X RAL 9002,225,INNO COOL,REGULAR,18
30-06-2024,KC3ADE1218,0.35 X 1220 X BRICK RED,2685,REGULAR,REGULAR,17
30-06-2024,KC1RDE0510,0.35 X 1220 X BRICK RED,4125,REGULAR,REGULAR,17
30-06-2024,KC1ADE0626,0.35 X 1220 X BRICK RED,2970,REGULAR,REGULAR,17
30-06-2024,KC3ADD2731,0.35 X 1220 X MIST GREEN,2300,REGULAR,REGULAR,17
30-06-2024,KC2ADF1481,0.35 X 1220 X RAL 7015,4260,REGULAR,REGULAR,17
